City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
hermanus,-34.4187,19.2345,11.94,79,7,7.42,ZA,1661545392
savonlinna,61.8699,28.88,14.03,100,75,0.51,FI,1661545393
vaini,-21.2,-175.2,25.09,88,20,3.6,TO,1661545395
alofi,-19.0595,-169.9187,24.94,69,40,6.69,NU,1661545440
georgetown,5.4112,100.3354,27.96,87,20,2.06,MY,1661545277
upernavik,72.7868,-56.1549,5.09,77,100,1.72,GL,1661545446
decatur,39.8403,-88.9548,28.22,65,75,3.6,US,1661544706
grand river south east,,,,,,,,
maracas,-13.4411,-40.4308,20.79,52,100,4.3,BR,1661545454
leua,48.2156,18.6071,25.28,64,5,2.04,SK,1661545458
leningradskiy,69.3833,178.4167,2.09,96,100,2.31,RU,1661545461
punta arenas,-53.15,-70.9167,1.06,80,40,14.92,CL,1661545456
lompoc,34.6391,-120.4579,34.88,68,0,5.66,US,1661545446
lavrentiya,65.5833,-171,6.4,93,100,0.07,RU,1661545471
ambon,-3.6954,128.1814,27.08,83,40,3.09,ID,1661545474
tuktoyaktuk,69.4541,-133.0374,14,88,40,5.14,CA,1661545477
longyearbyen,78.2186,15.6401,4.91,70,40,2.57,SJ,1661545318
jamestown,42.097,-79.2353,26.12,75,100,5.66,US,1661545276
komsomolskiy,40.4272,71.7189,20.4,32,0,2.06,UZ,1661545485
jalu,29.0331,21.5482,28.51,37,0,4.74,LY,1661545488
aripuana,-9.1667,-60.6333,36.39,25,93,0.48,BR,1661545491
cape town,-33.9258,18.4232,13.38,77,75,5.14,ZA,1661545382
hilo,19.7297,-155.09,30.16,74,75,3.13,US,1661545498
tiksi,71.6872,128.8694,6.36,86,74,2.58,RU,1661545501
ushuaia,-54.8,-68.3,0.79,74,75,6.17,AR,1661545297
oktyabrskoye,43.0645,44.7417,19.08,77,1,2,RU,1661545507
kruisfontein,-34.0033,24.7314,11.6,71,77,1.2,ZA,1661545510
torbay,47.6666,-52.7314,24.6,73,75,2.57,CA,1661545302
kupang,-10.1667,123.5833,22.75,74,13,4.26,ID,1661545517
lebu,-37.6167,-73.65,10.52,74,95,4.65,CL,1661545520
yellowknife,62.456,-114.3525,18.29,77,75,9.26,CA,1661545424
norman wells,65.282,-126.8329,21.02,46,40,0,CA,1661545525
dunedin,-45.8742,170.5036,9.33,75,33,1.34,NZ,1661545528
albany,42.6001,-73.9662,27.87,73,100,5.19,US,1661545372
kodiak,57.79,-152.4072,15.73,77,20,3.09,US,1661545534
bambous virieux,-20.3428,57.7575,21.23,73,40,5.66,MU,1661545537
mataura,-46.1927,168.8643,8.04,96,100,1.09,NZ,1661545540
bethel,41.3712,-73.414,31.31,68,75,7.72,US,1661545543
puerto ayora,-0.7393,-90.3518,24.98,87,86,4.47,EC,1661545546
rikitea,-23.1203,-134.9692,20.93,57,51,10.55,PF,1661545549
bluff,-46.6,168.3333,8.22,87,100,4.38,NZ,1661545552
ahipara,-35.1667,173.1667,13.61,79,84,4.47,NZ,1661545555
castro,-24.7911,-50.0119,21.04,57,2,1.39,BR,1661545558
isangel,-19.55,169.2667,23.69,81,29,5.75,VU,1661545561
kavieng,-2.5744,150.7967,27.43,79,100,6.65,PG,1661545568
antsohihy,-14.8796,47.9875,20.5,56,0,4.22,MG,1661545571
arman,59.7,150.1667,11.02,87,54,1.98,RU,1661545574
nikolskoye,59.7035,30.7861,16,96,1,1.91,RU,1661545577
nanortalik,60.1432,-45.2371,7.23,96,100,2.18,GL,1661545580
thompson,55.7435,-97.8558,22.09,73,75,3.6,CA,1661545583
taolanaro,,,,,,,,
hasaki,35.7333,140.8333,25.22,90,100,6.52,JP,1661545589
inuvik,68.3499,-133.7218,19.48,52,20,4.12,CA,1661545592
vaitape,-16.5167,-151.75,25.11,69,0,2.95,PF,1661545595
illoqqortoormiut,,,,,,,,
hamilton,39.1834,-84.5333,30.97,59,40,3.09,US,1661545442
airai,-8.9266,125.4092,12.01,83,46,1.41,TL,1661545603
cidreira,-30.1811,-50.2056,19.04,80,57,2.9,BR,1661545606
fare,-16.7,-151.0167,24.82,70,3,2.2,PF,1661545609
portland,45.5234,-122.6762,27.98,57,75,1.54,US,1661545582
kapaa,22.0752,-159.319,28.39,72,0,4.63,US,1661545617
vostok,46.4856,135.8833,8.01,78,100,1.53,RU,1661545620
yumen,40.2833,97.2,20.74,31,100,7.16,CN,1661545623
hashtrud,37.4779,47.0508,19.27,26,0,1.54,IR,1661545626
old town,50.087,14.4202,20.26,94,75,1.54,CZ,1661545629
severo-kurilsk,50.6789,156.125,12.56,80,100,1.63,RU,1661545633
avarua,-21.2078,-159.775,25.03,65,40,2.06,CK,1661545636
chokurdakh,70.6333,147.9167,4.04,82,74,2.16,RU,1661545456
sorland,67.667,12.6934,11.92,92,100,5.69,NO,1661545645
pringsewu,-5.3582,104.9744,23.07,96,100,0.72,ID,1661545648
port alfred,-33.5906,26.891,16.18,82,47,1.96,ZA,1661545652
victor harbor,-35.5667,138.6167,11.49,70,100,3.26,AU,1661545655
